M;2019.03.31;1;krumplifej@citromail.hu
M;2019.03.31;95;majoros@citromail.hu
T;95;P009;2
T;95;K003;6
T;95;P015;8
T;95;N002;1
M;2019.03.31;96;majoros@merchant.org
T;96;P011;10
T;96;P015;5
T;96;N003;2
M;2019.03.31;97;kisspal@gmail.com
T;97;B003;10
T;97;P012;5
T;97;S003;7
T;97;BG01;8
T;97;P001;4
M;2019.03.31;98;nagyatilla@merchant.org
T;98;P010;4
T;98;P009;6
T;98;S002;9
T;98;B003;1
M;2019.03.31;99;erikaszep@golden.com
T;99;P015;8
T;99;P007;9
T;99;B002;5
T;99;P005;7
T;99;B003;8
T;99;P014;6
M;2019.03.31;100;szputnyik@golden.com
T;100;B003;10
T;100;P006;7
T;100;BG03;8
T;100;P002;3
M;2019.04.01;101;nagyatilla@golden.com
T;101;N003;4
T;101;N006;2
M;2019.04.01;102;kovacs7@fidesz.gov
T;102;B001;6
T;102;P014;2
M;2019.04.01;103;fagylaltos@gmail.com
T;103;N002;4
T;103;P007;10
T;103;K001;10
T;103;P012;6
T;103;P003;4
M;2019.04.01;104;kisspal@fidesz.gov
T;104;P002;6
T;104;P008;7
T;104;P004;3
M;2019.04.01;105;kisspal@merchant.org
T;105;N001;4
T;105;N007;9
T;105;N004;5
T;105;N008;1
M;2019.04.01;106;szputnyik@gmail.com
T;106;S002;3
T;106;BG04;5
T;106;S001;4
T;106;B003;5
T;106;BG04;2
M;2019.04.01;107;kisspal@fidesz.gov
T;107;P012;3
T;107;BG03;7
T;107;S002;5
T;107;K004;9
T;107;N007;9
T;107;N004;9
T;107;P015;6
M;2019.04.01;108;majoros@citromail.hu
T;108;BG03;9
T;108;BG03;1
M;2019.04.01;109;kisspal@citromail.hu
T;109;P001;9
T;109;P011;10
T;109;P011;4
T;109;N006;2
M;2019.04.01;110;fagylaltos@freemail.hu
T;110;P005;9
T;110;N007;2
M;2019.04.01;111;krumplifej@freemail.hu
T;111;P001;8
T;111;K001;2
M;2019.04.01;112;zoltantoth@freemail.hu
T;112;B003;1
M;2019.04.01;113;krumplifej@freemail.hu
T;113;K003;1
M;2019.04.01;114;nagyatilla@fidesz.gov
T;114;K003;1
M;2019.04.01;115;erikaszep@golden.com
T;115;P015;8
T;115;S002;1
M;2019.04.01;116;kisspal@gmail.com
T;116;N006;9
T;116;K004;1
M;2019.04.01;117;kisspal@fidesz.gov
T;117;N006;4
T;117;N003;6
T;117;N004;5
T;117;P008;4
M;2019.04.01;118;erikaszep@merchant.org
T;118;N008;5
T;118;P015;4
T;118;P008;2
M;2019.04.01;119;zoltantoth@freemail.hu
T;119;BG01;7
T;119;K003;6
T;119;P008;10
T;119;B001;10
T;119;BG02;2
M;2019.04.01;120;nagyatilla@freemail.hu
T;120;S002;5
T;120;P006;3
T;120;N004;7
T;120;P005;1
